n_estimators,max_depth,min_samples_split,max_features,min_samples_leaf,accuracy,f1_score,roc_auc,cv_accuracy,training_time,prediction_time,holdout_cv_diff
50,,2,sqrt,1,0.7381615598885793,0.6945016900056131,0.6650612011164467,0.747075208913649,2.1499149799346924,0.06807088851928711,-0.008913649025069637
50,,2,sqrt,2,0.7116991643454039,0.6916816374731198,0.6799658055285008,0.7170612813370475,1.8185241222381592,0.07041716575622559,-0.005362116991643573
50,,2,log2,1,0.7381615598885793,0.6945016900056131,0.6650612011164467,0.747075208913649,2.138554096221924,0.06815099716186523,-0.008913649025069637
50,,2,log2,2,0.7116991643454039,0.6916816374731198,0.6799658055285008,0.7170612813370475,1.6626100540161133,0.12130308151245117,-0.005362116991643573
50,,5,sqrt,1,0.7206128133704736,0.693074922221712,0.6753221407165568,0.7265320334261839,1.8919830322265625,0.057807207107543945,-0.005919220055710328
50,,5,sqrt,2,0.7069637883008356,0.6896861851435772,0.673940045040914,0.7112116991643453,1.9301669597625732,0.06372189521789551,-0.00424791086350973
50,,5,log2,1,0.7206128133704736,0.693074922221712,0.6753221407165568,0.7265320334261839,1.815368890762329,0.16121602058410645,-0.005919220055710328
50,,5,log2,2,0.7069637883008356,0.6896861851435772,0.673940045040914,0.7112116991643453,1.755112886428833,0.07506704330444336,-0.00424791086350973
50,10.0,2,sqrt,1,0.5075208913649025,0.5665303744201705,0.6588333415669185,0.5282033426183844,1.0124433040618896,0.026416778564453125,-0.020682451253481893
50,10.0,2,sqrt,2,0.4871866295264624,0.5516052647802728,0.6695732227674647,0.5159470752089137,0.9995923042297363,0.03905987739562988,-0.028760445682451286
50,10.0,2,log2,1,0.5075208913649025,0.5665303744201705,0.6588333415669185,0.5282033426183844,0.9103319644927979,0.030778884887695312,-0.020682451253481893
50,10.0,2,log2,2,0.4871866295264624,0.5516052647802728,0.6695732227674647,0.5159470752089137,1.4454998970031738,0.06101036071777344,-0.028760445682451286
50,10.0,5,sqrt,1,0.4977715877437326,0.5604021581879297,0.6710558772562598,0.5234679665738161,0.8897421360015869,0.033499717712402344,-0.02569637883008352
50,10.0,5,sqrt,2,0.4777158774373259,0.5426514762092951,0.6712019770145107,0.5203342618384401,0.835158109664917,0.03478097915649414,-0.04261838440111421
50,10.0,5,log2,1,0.4977715877437326,0.5604021581879297,0.6710558772562598,0.5234679665738161,0.9375700950622559,0.03327488899230957,-0.02569637883008352
50,10.0,5,log2,2,0.4777158774373259,0.5426514762092951,0.6712019770145107,0.5203342618384401,0.8776602745056152,0.03716683387756348,-0.04261838440111421
50,20.0,2,sqrt,1,0.7362116991643454,0.6936348007696236,0.6774678856990581,0.7442200557103064,1.9854240417480469,0.09519195556640625,-0.008008356545960993
50,20.0,2,sqrt,2,0.7105849582172702,0.6933062672739541,0.6792167437043325,0.7162952646239554,1.5288550853729248,0.20633578300476074,-0.005710306406685239
50,20.0,2,log2,1,0.7362116991643454,0.6936348007696236,0.6774678856990581,0.7442200557103064,1.7405340671539307,0.08865809440612793,-0.008008356545960993
50,20.0,2,log2,2,0.7105849582172702,0.6933062672739541,0.6792167437043325,0.7162952646239554,1.6007039546966553,0.07263994216918945,-0.005710306406685239
50,20.0,5,sqrt,1,0.716991643454039,0.6958631698479593,0.6865112989721668,0.7201253481894151,5.196103811264038,0.7735471725463867,-0.0031337047353761083
50,20.0,5,sqrt,2,0.6997214484679666,0.6893451218177588,0.6857607059946306,0.7068941504178274,1.1339058876037598,0.038787126541137695,-0.00717270194986086
50,20.0,5,log2,1,0.716991643454039,0.6958631698479593,0.6865112989721668,0.7201253481894151,1.1232950687408447,0.04173111915588379,-0.0031337047353761083
50,20.0,5,log2,2,0.6997214484679666,0.6893451218177588,0.6857607059946306,0.7068941504178274,1.1764559745788574,0.049465179443359375,-0.00717270194986086
100,,2,sqrt,1,0.7409470752089137,0.6958728288800256,0.6701059795291829,0.7477715877437326,4.76465106010437,0.10722112655639648,-0.006824512534818972
100,,2,sqrt,2,0.7155988857938719,0.6942625391156937,0.6844653947487107,0.721866295264624,3.8264050483703613,0.12358999252319336,-0.0062674094707521055
100,,2,log2,1,0.7409470752089137,0.6958728288800256,0.6701059795291829,0.7477715877437326,3.6571900844573975,0.16529369354248047,-0.006824512534818972
100,,2,log2,2,0.7155988857938719,0.6942625391156937,0.6844653947487107,0.721866295264624,3.3220901489257812,0.13291716575622559,-0.0062674094707521055
100,,5,sqrt,1,0.722284122562674,0.6947672533961203,0.6811535453308322,0.7300835654596101,3.1755411624908447,0.13054203987121582,-0.007799442896936015
100,,5,sqrt,2,0.7094707520891365,0.6917545473266381,0.6741064057737218,0.7172701949860725,3.0321810245513916,0.12600278854370117,-0.007799442896936015
100,,5,log2,1,0.722284122562674,0.6947672533961203,0.6811535453308322,0.7300835654596101,3.2639689445495605,0.1499800682067871,-0.007799442896936015
100,,5,log2,2,0.7094707520891365,0.6917545473266381,0.6741064057737218,0.7172701949860725,2.9637439250946045,0.12478494644165039,-0.007799442896936015
100,10.0,2,sqrt,1,0.5286908077994429,0.5835780164465985,0.6657830952893621,0.5407381615598886,1.990563154220581,0.09523200988769531,-0.012047353760445745
100,10.0,2,sqrt,2,0.5055710306406686,0.5667619450546981,0.6705670835314729,0.5259052924791087,2.093557119369507,0.06989192962646484,-0.020334261838440115
100,10.0,2,log2,1,0.5286908077994429,0.5835780164465985,0.6657830952893621,0.5407381615598886,1.9641027450561523,0.0848238468170166,-0.012047353760445745
100,10.0,2,log2,2,0.5055710306406686,0.5667619450546981,0.6705670835314729,0.5259052924791087,2.341653823852539,0.05890488624572754,-0.020334261838440115
100,10.0,5,sqrt,1,0.5100278551532034,0.5698935479974543,0.671934232807761,0.5327298050139275,2.333317995071411,0.06680917739868164,-0.022701949860724158
100,10.0,5,sqrt,2,0.5158774373259053,0.5744236593437007,0.6744865680135972,0.5271587743732591,1.940129041671753,0.08069300651550293,-0.01128133704735379
100,10.0,5,log2,1,0.5100278551532034,0.5698935479974543,0.671934232807761,0.5327298050139275,1.8506600856781006,0.1393270492553711,-0.022701949860724158
100,10.0,5,log2,2,0.5158774373259053,0.5744236593437007,0.6744865680135972,0.5271587743732591,2.120790958404541,0.06564211845397949,-0.01128133704735379
100,20.0,2,sqrt,1,0.7387186629526462,0.6957372937261445,0.6833319843701263,0.7464484679665737,6.55735182762146,0.1920151710510254,-0.007729805013927504
100,20.0,2,sqrt,2,0.7153203342618384,0.6960080529629842,0.6847762234882828,0.7188022284122564,3.838325023651123,0.10494494438171387,-0.0034818941504179968
100,20.0,2,log2,1,0.7387186629526462,0.6957372937261445,0.6833319843701263,0.7464484679665737,4.029626131057739,0.1321420669555664,-0.007729805013927504
100,20.0,2,log2,2,0.7153203342618384,0.6960080529629842,0.6847762234882828,0.7188022284122564,4.06245493888855,0.11590981483459473,-0.0034818941504179968
100,20.0,5,sqrt,1,0.7211699164345404,0.695172941175438,0.6839030022418686,0.7259052924791086,3.8430140018463135,0.10829877853393555,-0.004735376044568196
100,20.0,5,sqrt,2,0.7050139275766016,0.6912141271386572,0.6893605746738303,0.7111420612813371,3.312138080596924,0.11660909652709961,-0.006128133704735417
100,20.0,5,log2,1,0.7211699164345404,0.695172941175438,0.6839030022418686,0.7259052924791086,6.075738906860352,0.45754313468933105,-0.004735376044568196
100,20.0,5,log2,2,0.7050139275766016,0.6912141271386572,0.6893605746738303,0.7111420612813371,3.0125279426574707,0.12122988700866699,-0.006128133704735417
200,,2,sqrt,1,0.7409470752089137,0.6946407533957799,0.6723917038265471,0.748816155988858,6.980108022689819,0.2712557315826416,-0.007869080779944304
200,,2,sqrt,2,0.7178272980501392,0.6937061528241568,0.6824755745572376,0.7240250696378829,5.879699945449829,0.21147823333740234,-0.006197771587743706
200,,2,log2,1,0.7409470752089137,0.6946407533957799,0.6723917038265471,0.748816155988858,7.736181974411011,0.28465700149536133,-0.007869080779944304
200,,2,log2,2,0.7178272980501392,0.6937061528241568,0.6824755745572376,0.7240250696378829,13.705968141555786,0.3660740852355957,-0.006197771587743706
200,,5,sqrt,1,0.7231197771587744,0.6949154899099176,0.6795352315619342,0.732242339832869,6.636476993560791,0.28156495094299316,-0.009122562674094614
200,,5,sqrt,2,0.7091922005571031,0.6907672482490245,0.6793943878721095,0.7172701949860725,5.573718786239624,0.21035313606262207,-0.008077994428969393
200,,5,log2,1,0.7231197771587744,0.6949154899099176,0.6795352315619342,0.732242339832869,6.124592304229736,0.218458890914917,-0.009122562674094614
200,,5,log2,2,0.7091922005571031,0.6907672482490245,0.6793943878721095,0.7172701949860725,5.478243827819824,0.23301196098327637,-0.008077994428969393
200,10.0,2,sqrt,1,0.5311977715877437,0.5854891181542204,0.6621916362000119,0.5505571030640668,5.879621982574463,0.5113787651062012,-0.01935933147632307
200,10.0,2,sqrt,2,0.5050139275766017,0.5657542046757045,0.6732108576449921,0.5372562674094707,4.209280967712402,0.1271350383758545,-0.03224233983286906
200,10.0,2,log2,1,0.5311977715877437,0.5854891181542204,0.6621916362000119,0.5505571030640668,3.9625110626220703,0.1265709400177002,-0.01935933147632307
200,10.0,2,log2,2,0.5050139275766017,0.5657542046757045,0.6732108576449921,0.5372562674094707,3.8491129875183105,0.13159871101379395,-0.03224233983286906
200,10.0,5,sqrt,1,0.5158774373259053,0.5739402034232317,0.6734529649187391,0.5422701949860723,3.771044969558716,0.12359285354614258,-0.02639275766016702
200,10.0,5,sqrt,2,0.5041782729805014,0.5647956770588911,0.673003582938079,0.5330779944289694,4.205833911895752,0.11911582946777344,-0.028899721448467974
200,10.0,5,log2,1,0.5158774373259053,0.5739402034232317,0.6734529649187391,0.5422701949860723,4.123183965682983,0.13623523712158203,-0.02639275766016702
200,10.0,5,log2,2,0.5041782729805014,0.5647956770588911,0.673003582938079,0.5330779944289694,4.352016925811768,0.21590805053710938,-0.028899721448467974
200,20.0,2,sqrt,1,0.7373259052924791,0.6940892044125653,0.6893221795320846,0.7481894150417828,7.132968902587891,0.2155001163482666,-0.010863509749303724
200,20.0,2,sqrt,2,0.7164345403899721,0.69589092797234,0.6880194921080354,0.7217270194986073,4.926307201385498,0.185683012008667,-0.005292479108635173
200,20.0,2,log2,1,0.7373259052924791,0.6940892044125653,0.6893221795320846,0.7481894150417828,11.322360038757324,0.4400787353515625,-0.010863509749303724
200,20.0,2,log2,2,0.7164345403899721,0.69589092797234,0.6880194921080354,0.7217270194986073,6.197815179824829,0.2364521026611328,-0.005292479108635173
200,20.0,5,sqrt,1,0.7183844011142061,0.6937762140317768,0.686126415081597,0.727367688022284,7.400199890136719,0.39138007164001465,-0.008983286908077925
200,20.0,5,sqrt,2,0.7050139275766016,0.6908891759436258,0.6885637531101674,0.7132311977715877,4.119849920272827,0.1482710838317871,-0.008217270194986082
200,20.0,5,log2,1,0.7183844011142061,0.6937762140317768,0.686126415081597,0.727367688022284,7.067286014556885,0.25624823570251465,-0.008983286908077925
200,20.0,5,log2,2,0.7050139275766016,0.6908891759436258,0.6885637531101674,0.7132311977715877,4.564990043640137,0.15009403228759766,-0.008217270194986082
